ID,sp_alias,Major Taxa,Taxanomic Group,14A-1.O,14A-1.I,14A-2.O,14A-2.I,14A-4.O,14A-4.O1,14A-4.O2,14A-4.I,14C-1.O,14C-1.I,14C-2.O,14C-2.I,14C-4.O,14C-4.I,34A-1.O,34A-1.I,34A-2.O,34A-2.I,34A-4.O,34A-4.I,34C-1.O,34C-1.I,34C-2.O,34C-2.I,34C-4.O,34C-4.I,54A-1.O,54A-1.I,54A-2.O,54A-2.I,54A-4.O,54A-4.I,54C-1.O,54C-1.I,54C-2.O,54C-2.I,54C-4.O,54C-4.I,74A-1.O,74A-1.I,74A-2.O,74A-2.I,74A-4.O,74A-4.I,74C-1.O,74C-1.I,74C-2.O,74C-2.I,74C-4.O,74C-4.I,12A-1.O,12A-1.I,12A-2.O,12A-2.I,12A-4.O,12A-4.I,12C-1.O,12C-1.I,12C-2.O,12C-2.I,12C-4.O,12C-4.I,32C-1.O,32C-1.I
Uropodina sp.2,Uropodina sp.2,  Uropodina,Mesostigmata,20,0,68,14,18,,,31,32,25,0,17,0,7,0,1,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,4,3,7,4,2,6,9,1,8,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uropodina sp.2i (imm),Uropodina sp.2,  Uropodina,Mesostigmata,1,0,13,3,20,,,13,15,13,0,7,0,5,0,3,1,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,8,3,17,24,1,2,1,16,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uropodoidea sp.3,Uropodoidea sp.3,  Uropodina,Mesostigmata,0,0,0,2,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,2,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uropodoidea sp.3a (imm),Uropodoidea sp.3,  Uropodina,Mesostigmata,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,4,2,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dithinozerconidae sp.4,Dithinozerconidae sp.4,  Uropodina,Mesostigmata,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,2,0,0,6,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dithinozerconidae sp.4i,Dithinozerconidae sp.4,  Uropodina,Mesostigmata,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,4,4,1,7,7,2,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zerconidae sp.1,Zerconidae sp.1,  Gamasina,Mesostigmata,1,0,0,5,1,,,4,1,0,0,0,1,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5,5,3,1,1,8,3,1,3,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,3,0
Zerconidae sp.1a (imm),Zerconidae sp.1,  Gamasina,Mesostigmata,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
Zerconidae sp.2,Zerconidae sp.2,  Gamasina,Mesostigmata,1,1,27,12,23,,,8,27,35,0,7,0,0,0,0,4,3,4,17,32,1,0,7,0,0,0,20,12,17,21,21,11,34,0,49,0,0,10,3,22,24,68,41,37,48,1,15,0,0,0,0,0,0,0,30,0,0,3,40,0,5,33,8
Zerconidae sp.2i (imm),Zerconidae sp.2,  Gamasina,Mesostigmata,2,1,16,9,7,,,11,5,10,0,1,0,0,0,4,4,6,1,1,12,0,0,1,0,4,5,16,7,5,11,10,7,17,0,14,0,2,10,4,11,21,49,21,23,19,1,5,0,2,0,0,0,0,0,1,0,0,0,1,0,1,5,6
Zerconidae sp.2a (imm),Zerconidae sp.2,  Gamasina,Mesostigmata,0,1,39,22,10,,,20,38,19,0,0,0,0,0,0,2,0,9,17,13,1,0,5,0,0,4,36,21,27,9,24,7,14,0,35,1,1,19,8,24,9,19,5,10,13,2,12,0,0,0,0,0,0,0,4,0,0,0,13,0,1,2,1
Zerconidae sp.2b,Zerconidae sp.2b,  Gamasina,Mesostigmata,0,0,44,4,9,,,8,0,17,0,0,0,0,0,0,1,0,18,7,4,0,0,1,0,0,2,7,12,8,4,23,3,6,0,7,0,2,5,0,8,19,13,4,11,14,1,13,0,4,0,0,0,0,0,1,0,0,0,3,0,0,36,24
Zerconidae sp.2c,Zerconidae sp.2c,  Gamasina,Mesostigmata,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
Veigaiidae sp.,Veigaiidae sp.,    Dermanyssiae,Mesostigmata,1,0,1,1,0,,,0,2,8,0,4,0,2,0,1,0,0,0,1,1,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,2,1,1,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Veigaiidae imm.,Veigaiidae sp.,    Dermanyssiae,Mesostigmata,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ologamasidae,Ologamasidae,      Rhodacaroidea,Mesostigmata,0,0,9,1,8,,,5,5,2,0,3,0,0,0,0,4,0,3,9,18,0,1,28,0,0,0,5,5,13,21,15,5,8,0,16,0,0,0,0,5,0,3,2,4,5,5,5,0,2,0,0,0,0,0,1,0,0,2,0,0,0,3,2
Ologamasidae 1i (imm),Ologamasidae,      Rhodacaroidea,Mesostigmata,0,0,18,4,16,,,19,14,5,0,6,0,4,0,0,14,0,23,7,22,0,1,27,0,4,2,9,18,25,41,2,6,26,0,40,0,0,0,0,22,0,0,1,6,1,4,12,1,5,0,0,0,0,0,0,0,0,0,0,0,1,11,8
Rhodacaroidea unk.,Ologamasidae,      Rhodacaroidea,Mesostigmata,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laelapidae sp.1,Laelapidae sp.1,      Dermanyssoidea,Mesostigmata,1,1,0,0,6,,,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Laelapidae sp.1a (imm),Laelapidae sp.1,      Dermanyssoidea,Mesostigmata,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laelapidae sp.2,Laelapidae sp.2,      Dermanyssoidea,Mesostigmata,2,1,2,0,0,,,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,1,0,0,0,2,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0
Laelapidae sp.3,Laelapidae sp.3,      Dermanyssoidea,Mesostigmata,0,0,1,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laelapidae sp.3i (imm),Laelapidae sp.3,      Dermanyssoidea,Mesostigmata,0,0,1,3,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,      Dermanyssoidea,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Prostigs & Other Predators,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bdellid Prostig,Bdellid Prostig,Prostigs & Other Predators,Prostigmata,4,0,2,0,1,,,4,0,1,0,1,0,1,0,0,0,0,3,0,0,0,2,2,0,0,0,0,3,2,1,3,2,2,0,1,0,0,0,0,5,1,4,4,3,4,1,2,0,0,0,0,0,0,0,2,0,0,5,1,2,3,3,2
Bdellid Prostig 1a,Bdellid Prostig 1a,Prostigs & Other Predators,Prostigmata,0,0,0,0,3,,,0,4,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,3,0,0,0,0,9,0,7,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
other lg pred. Prostigs,other lg pred. Prostigs,Prostigs & Other Predators,Prostigmata,0,0,7,1,3,,,4,3,7,0,3,0,0,1,0,3,2,1,1,8,0,0,3,1,1,1,2,4,3,0,0,1,6,0,4,0,2,0,0,2,2,2,0,6,8,3,7,0,0,0,0,0,0,0,1,0,0,1,2,0,3,2,6
other sm Prostigs,other sm Prostigs,Prostigs & Other Predators,Prostigmata,28,6,65,17,23,,,19,45,29,0,27,0,21,3,2,19,34,13,12,39,4,1,25,4,9,95,93,74,76,34,125,40,82,0,58,0,23,19,6,62,40,52,40,62,30,41,57,0,26,0,0,0,0,0,58,0,0,102,32,0,46,66,57
,,Prostigs & Other Predators,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Collembola,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hypogastruridae sp.1,Hypogastruridae sp.,  Poduromorpha,Collembola,4,0,3,5,1,,,25,0,4,0,0,0,2,0,2,9,11,4,2,4,0,0,3,0,2,6,22,5,5,5,25,5,7,0,8,0,8,6,3,8,4,74,4,3,6,5,6,0,10,0,0,0,0,0,9,0,0,0,2,0,5,3,1
Hypogastruridae sp.1a,Hypogastruridae sp.,  Poduromorpha,Collembola,1,0,0,6,3,,,1,0,2,0,9,0,0,0,1,11,31,4,7,4,0,0,4,1,7,11,25,7,3,11,21,3,1,0,2,0,2,6,1,3,7,14,11,9,7,3,11,1,1,0,0,0,0,0,10,0,0,0,1,0,5,5,4
Hypogastruridae sp.1b,Hypogastruridae sp.,  Poduromorpha,Collembola,4,0,6,1,0,,,1,0,0,0,8,0,0,0,0,0,4,0,5,3,0,0,2,1,2,3,3,0,0,1,0,0,1,0,2,0,1,2,0,0,2,3,0,14,24,3,7,2,2,0,0,0,0,0,3,0,0,0,0,0,1,0,0
Hypogastruridae sp.2,Hypogastruridae sp.,  Poduromorpha,Collembola,0,0,1,0,0,,,1,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Onychiuridae sp.1,Onychiuridae sp.,  Poduromorpha,Collembola,64,41,36,190,3,,,30,15,13,0,1,0,2,2,3,14,6,4,2,7,0,0,0,1,2,16,10,17,7,6,17,5,3,0,9,0,17,22,3,49,30,32,60,21,16,187,82,3,4,0,0,0,0,0,7,0,0,79,59,1,4,34,13
Onychiuridae sp.1a,Onychiuridae sp.,  Poduromorpha,Collembola,3,2,15,6,1,,,13,5,4,1,0,0,0,0,0,2,1,1,2,0,0,0,0,0,0,1,1,4,0,0,5,0,0,0,0,0,2,3,1,0,3,2,2,0,1,3,2,1,1,0,0,0,0,0,1,0,0,0,0,0,1,6,5
Tomoceridae sp.,Tomoceridae sp.,  Entomobryomorpha,Collembola,1,0,0,0,0,,,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3,0,0,0,0
Isotomidae sp.1,Isotomidae sp.1,  Entomobryomorpha,Collembola,118,3,597,60,67,,,76,3,14,0,1,0,0,0,17,72,49,240,46,77,0,0,39,0,7,26,49,1,2,15,17,21,13,0,17,0,10,66,4,136,95,224,87,120,104,32,97,0,90,0,0,0,0,0,12,0,0,19,12,0,1,41,49
Isotomidae sp.1a (imm),Isotomidae sp.1,  Entomobryomorpha,Collembola,0,0,4,0,15,,,1,9,0,0,2,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isotomidae sp.2,Isotomidae sp.1,  Entomobryomorpha,Collembola,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isotomidae sp.3,Isotomidae sp.3,  Entomobryomorpha,Collembola,8,2,26,5,0,,,14,15,9,0,0,0,1,0,5,13,19,6,0,16,4,0,5,0,9,7,9,2,0,0,1,2,3,0,1,0,5,13,0,21,52,28,9,68,81,19,140,2,42,0,0,0,0,0,3,0,0,1,1,0,5,3,44
Isotomidae sp.3a,Isotomidae sp.3,  Entomobryomorpha,Collembola,0,0,0,0,0,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isotomidae sp.3b,Isotomidae sp.3b,  Entomobryomorpha,Collembola,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,3,0,0,2,0,0
Isotomidae sp.3c,Isotomidae sp.3c,  Entomobryomorpha,Collembola,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,11,1,0
Isotomidae sp.4a,Isotomidae sp.4,  Entomobryomorpha,Collembola,1,1,2,3,0,,,9,1,7,0,17,0,1,0,3,6,14,10,0,33,5,0,9,0,6,6,29,55,27,17,22,26,43,0,72,0,1,4,1,14,6,2,10,17,14,24,13,0,0,0,0,0,0,0,0,0,0,2,1,0,9,0,3
Isotomidae sp.4b,Isotomidae sp.4,  Entomobryomorpha,Collembola,1,0,2,1,0,,,18,0,1,0,0,0,0,0,3,1,2,4,1,18,0,0,0,0,4,42,22,19,29,34,46,5,13,2,26,0,26,0,0,1,1,1,0,16,21,5,10,0,3,0,0,0,0,0,3,0,0,0,6,0,2,0,0
Isotomidae sp.4c,Isotomidae sp.4,  Entomobryomorpha,Collembola,0,0,10,0,0,,,6,0,0,0,0,0,0,3,4,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,1,0,1,1,4,1,0,0,4,0,0,0,0,0,1,0,0,2,0,0,0,5,4
Isotomidae sp.5,Isotomidae sp.4,  Entomobryomorpha,Collembola,0,0,19,2,14,,,8,6,3,0,2,0,0,0,1,9,5,21,12,36,2,0,14,0,13,1,11,3,14,1,11,0,6,0,11,0,6,0,0,0,0,2,1,13,28,8,19,0,1,0,0,0,0,0,1,0,0,0,18,0,33,0,2
Isotomidae sp.5a,Isotomidae sp.4,  Entomobryomorpha,Collembola,1,0,5,1,4,,,0,3,0,0,0,0,1,0,1,3,1,2,0,11,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,0,0,0,0,0,1,0,0,0,1,0,2,10,9
Isotomidae sp.6,Isotomidae sp.4,  Entomobryomorpha,Collembola,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Entomobryidae sp.1,Isotomidae sp.4,  Entomobryomorpha,Collembola,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Entomobryidae sp.1a,Isotomidae sp.4,  Entomobryomorpha,Collembola,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Entomobryidae sp.3,Entomobryidae sp.,  Entomobryomorpha,Collembola,1,0,0,0,0,,,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,4,0
Entomobryidae sp.4,Entomobryidae sp.,  Entomobryomorpha,Collembola,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,1,1,8,0,1,0
Neelidae spp.,Neelidae spp.,  Symphypleona,Collembola,1,0,5,0,0,,,10,14,5,0,0,0,3,5,13,5,4,5,7,0,1,0,2,0,23,3,7,2,0,0,12,14,7,0,16,0,25,2,1,0,2,2,1,2,1,0,4,1,0,0,0,0,0,0,0,0,0,6,2,0,2,0,1
Sminthuridae sp.1,Sminthuridae sp.1,  Symphypleona,Collembola,0,0,1,0,2,,,1,0,0,0,0,0,1,0,1,0,2,0,0,2,0,0,1,0,7,5,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,11,0,24,2,10
Sminthuridae sp.1a,Sminthuridae sp.1,  Symphypleona,Collembola,0,0,0,0,0,,,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sminthuridae sp.2,Sminthuridae sp.1,  Symphypleona,Collembola,0,0,0,0,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Sminthuridae sp.3,Sminthuridae sp.3,  Symphypleona,Collembola,0,0,0,0,2,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Sminthuridae sp.3a,Sminthuridae sp.4a,  Symphypleona,Collembola,0,0,0,0,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sminthuridae sp.4,Sminthuridae sp.3,  Symphypleona,Collembola,4,0,0,0,3,,,1,4,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
Sminthuridae sp.4a,Sminthuridae sp.4a,  Symphypleona,Collembola,3,0,1,1,2,,,4,7,9,0,9,0,3,0,0,0,0,0,0,5,1,0,0,0,6,3,1,0,0,0,1,1,1,0,0,0,7,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
Sminthuridae sp.5,Sminthuridae sp.5,  Symphypleona,Collembola,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,7,3,0,0,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sminthuridae sp.5a,Sminthuridae sp.5,  Symphypleona,Collembola,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,1,1,1,3,1,0,0,0,0,0,1,3,0,1,0,0,2,6,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
