SampleID,Block,Time,Chamber,Fragmentation,Position,SampleControl,Notes,Date collected,Date analyzed,Temperature ( C) lab,Pressure (kPa) lab,_mol / ml,Calibration Date (most recent),C2H4 calibration slope,C2H2 Calibration slope,C2H2 Height,C2H2 Area,C2H2 _mol,C2H2 _mol (calc),_mol C2H2 / injection,C2H4 Height,C2H4 Area,C2H4 _mol,C2H4 _mol (calc),_mol C2H4 / injection,%C2H4 ml,%C2H4 ARA,Control,Blank,ARA (_mol/ml),ARA (_mol·m-2·d-1),ARA* (_mol/ml),ARA* (_mol·m-2·d-1)
14A-2.W,1,4,A,2,W,Sample,,,2011-02-08,24,105.2,42.601330,2010-09-21,265823000,319985600,52483146,475929603,1.487347,1.487347,1.487347,37060,334989,0.001260,0.001260,0.001260,0.000030,0.000846429,0.000181,0.000003,0.001076,89.7,0.001257,104.7
14A-3.0c,1,4,A,3,0,control,,,2011-02-09,24,105.6,42.763312,2010-09-21,265823000,319985600,361310,3265611,0.010205,0.010205,0.010205,4954,52550,0.000198,0.000198,0.000198,0.000005,0.019032971,,0.000003,,,,
14A-3.1c,1,4,A,3,1,control,,,2011-02-09,24,105.6,42.763312,2010-09-21,265823000,319985600,1640788,15400781,0.048130,0.048130,0.048130,10299,107867,0.000406,0.000406,0.000406,0.000009,0.008364925,,0.000003,,,,
14A-3.0,1,4,A,3,0,Sample,,,2011-02-09,24,105.5,42.722816,2010-09-21,265823000,319985600,51369005,464646310,1.452085,1.452085,1.452085,32105,288525,0.001085,0.001085,0.001085,0.000025,0.000746644,0.000198,0.000003,0.000884,73.7,0.001082,90.2
14A-3.1,1,4,A,3,1,Sample,,,2011-02-09,24,105.5,42.722816,2010-09-21,265823000,319985600,55437990,502361306,1.569950,1.569950,1.569950,26679,233172,0.000877,0.000877,0.000877,0.000021,0.000558305,0.000406,0.000003,0.000468,39.0,0.000874,72.8
14A-3.S,1,4,A,3,S,Sample,,,2011-02-09,24,105.5,42.722816,2010-09-21,265823000,319985600,44131527,412311634,1.288532,1.288532,1.288532,9342,76898,0.000289,0.000289,0.000289,0.000007,0.000224236,0.000302,0.000003,-0.000016,-1.3,0.000286,23.8
14A-3.E,1,4,A,3,E,Sample,,,2011-02-09,24,105.5,42.722816,2010-09-21,265823000,319985600,49582103,445503774,1.392262,1.392262,1.392262,10842,90020,0.000339,0.000339,0.000339,0.000008,0.000243429,0.000302,0.000003,0.000034,2.9,0.000336,28.0
14A-4.0c,1,4,A,4,0,control,,,2011-02-09,24,105.5,42.722816,2010-09-21,265823000,319985600,1352922,12105330,0.037831,0.037831,0.037831,14532,150835,0.000567,0.000567,0.000567,0.000013,0.014766394,,0.000003,,,,
14A-4.1c,1,4,A,4,1,control,,,2011-02-09,24,105.5,42.722816,2010-09-21,265823000,319985600,542568,4864245,0.015201,0.015201,0.015201,4372,44959,0.000169,0.000169,0.000169,0.000004,0.010995446,,0.000003,,,,
14A-4.0,1,4,A,4,0,Sample,,,2011-02-09,24,105.5,42.722816,2010-09-21,265823000,319985600,50458991,449381087,1.404379,1.404379,1.404379,146021,1450838,0.005458,0.005458,0.005458,0.000128,0.00387137,0.000567,0.000003,0.004888,407.3,0.005455,454.6
14A-4.1,1,4,A,4,1,Sample,,,2011-02-09,24,105.5,42.722816,2010-09-21,265823000,319985600,51039491,464395275,1.451301,1.451301,1.451301,12308,102146,0.000384,0.000384,0.000384,0.000009,0.00026452,0.000169,0.000003,0.000212,17.7,0.000381,31.7
14A-4.N,1,4,A,4,N,Sample,,,2011-02-09,24,105.5,42.722816,2010-09-21,265823000,319985600,46424834,407610900,1.273842,1.273841,1.273842,73747,705023,0.002652,0.002652,0.002652,0.000062,0.002077566,0.000368,0.000003,0.002281,190.1,0.002649,220.7
14A-4.E,1,4,A,4,E,Sample,,,2011-02-09,24,105.5,42.722816,2010-09-21,265823000,319985600,51685984,467544250,1.461142,1.461142,1.461142,19037,162996,0.000613,0.000613,0.000613,0.000014,0.000419359,0.000368,0.000003,0.000242,20.2,0.000610,50.8
14B-1.0c,1,4,B,1,0,control,,,2011-02-09,24,105.5,42.722816,2010-09-21,265823000,319985600,1460003,13533769,0.042295,0.042295,0.042295,12246,126003,0.000474,0.000474,0.000474,0.000011,0.011082794,,0.000013,,,,
14B-1.1c,1,4,B,1,1,control,,,2011-02-09,24,105.5,42.722816,2010-09-21,265823000,319985600,1402901,12861046,0.040193,0.040193,0.040193,10556,131133,0.000493,0.000493,0.000493,0.000012,0.01211719,,0.000013,,,,
14B-1.0,1,4,B,1,0,Sample,,,2011-02-09,24,105.5,42.722816,2010-09-21,265823000,319985600,52031078,465250613,1.453974,1.453974,1.453974,17352,147478,0.000555,0.000555,0.000555,0.000013,0.000381567,0.000474,0.000013,0.000068,5.7,0.000542,45.2
14B-1.1,1,4,B,1,1,Sample,,,2011-02-09,24,105.5,42.722816,2010-09-21,265823000,319985600,52401860,460013808,1.437608,1.437608,1.437608,66427,624602,0.002350,0.002350,0.002350,0.000055,0.001631992,0.000493,0.000013,0.001844,153.7,0.002337,194.7
14B-1.S,1,4,B,1,S,Sample,,,2011-02-09,24,105.5,42.722816,2010-09-21,265823000,319985600,51260778,458281113,1.432193,1.432193,1.432193,79307,760178,0.002860,0.002860,0.002860,0.000067,0.001992958,0.000484,0.000013,0.002363,197.0,0.002847,237.2
14B-1.E,1,4,B,1,E,Sample,,,2011-02-09,24,105.5,42.722816,2010-09-21,265823000,319985600,45748422,418257971,1.307115,1.307115,1.307115,14550,122868,0.000462,0.000462,0.000462,0.000011,0.000353325,0.000484,0.000013,-0.000035,-2.9,0.000449,37.4
14B-2.0c,1,4,B,2,0,control,,,2011-02-09,24,105.5,42.722816,2010-09-21,265823000,319985600,1416322,13159193,0.041124,0.041124,0.041124,4366,43774,0.000165,0.000165,0.000165,0.000004,0.003996222,,0.000013,,,,
14B-2.1c,1,4,B,2,1,control,,,2011-02-09,24,105.5,42.722816,2010-09-21,265823000,319985600,355215,3169371,0.009905,0.009905,0.009905,6752,70280,0.000264,0.000264,0.000264,0.000006,0.025961255,,0.000013,,,,
14B-2.0,1,4,B,2,0,Sample,,,2011-02-09,24,105.5,42.722816,2010-09-21,265823000,319985600,33361049,298319215,0.932290,0.932289,0.932290,1790,11258,0.000042,0.000042,0.000042,0.000001,4.50483E-05,0.000165,0.000013,-0.000136,-11.3,0.000029,2.4
14B-2.1,1,4,B,2,1,Sample,,,2011-02-09,24,105.5,42.722816,2010-09-21,265823000,319985600,45912032,404828937,1.265148,1.265147,1.265148,44716,413628,0.001556,0.001556,0.001556,0.000036,0.001228385,0.000264,0.000013,0.001279,106.6,0.001543,128.6
14B-2.S,1,4,B,2,S,Sample,,,2011-02-09,24,105.5,42.722816,2010-09-21,265823000,319985600,42505675,386388893,1.207520,1.207520,1.207520,4150,34936,0.000131,0.000131,0.000131,0.000003,0.000108475,0.000215,0.000013,-0.000097,-8.0,0.000118,9.8
14B-2.W,1,4,B,2,W,Sample,,,2011-02-09,24,105.5,42.722816,2010-09-21,265823000,319985600,46030832,411245671,1.285201,1.285201,1.285201,3587,22688,0.000085,0.000085,0.000085,0.000002,6.61331E-05,0.000215,0.000013,-0.000143,-11.9,0.000072,6.0
14B-3.0c,1,4,B,3,0,control,,,2011-02-10,23,105.9,43.029680,2010-09-21,265823000,319985600,265623,2500786,0.007815,0.007815,0.007815,4362,47736,0.000180,0.000180,0.000180,0.000004,0.022514071,,0.000013,,,,
14B-3.1c,1,4,B,3,1,control,,,2011-02-10,23,105.9,43.029680,2010-09-21,265823000,319985600,186477,1713387,0.005355,0.005355,0.005355,4176,45338,0.000171,0.000171,0.000171,0.000004,0.030944625,,0.000013,,,,
14B-3.0,1,4,B,3,0,Sample,,,2011-02-10,24,105.9,42.884798,2010-09-21,265823000,319985600,44393735,414162332,1.294316,1.294316,1.294316,139829,1426537,0.005366,0.005366,0.005366,0.000125,0.004128702,0.000179,0.000013,0.005173,431.1,0.005353,446.1
14B-3.1,1,4,B,3,1,Sample,,,2011-02-10,24,105.9,42.884798,2010-09-21,265823000,319985600,43643550,390882764,1.221564,1.221564,1.221564,64889,618290,0.002326,0.002326,0.002326,0.000054,0.001900498,0.000170,0.000013,0.002142,178.5,0.002313,192.7
14B-3.N,1,4,B,3,N,Sample,,,2011-02-10,24,105.9,42.884798,2010-09-21,265823000,319985600,46490497,424523766,1.326697,1.326696,1.326697,83746,818088,0.003078,0.003078,0.003078,0.000072,0.002314677,0.000175,0.000013,0.002890,240.8,0.003065,255.4
14B-3.E,1,4,B,3,E,Sample,,,2011-02-10,24,106.0,42.925294,2010-09-21,265823000,319985600,46954838,422853586,1.321477,1.321477,1.321477,6561,52932,0.000199,0.000199,0.000199,0.000005,0.000150566,0.000175,0.000013,0.000011,0.9,0.000186,15.5
14B-4.0c,1,4,B,4,0,control,,,2011-02-10,24,106.0,42.925294,2010-09-21,265823000,319985600,1632974,14966688,0.046773,0.046773,0.046773,5034,50092,0.000188,0.000188,0.000188,0.000004,0.004003322,,0.000013,,,,
14B-4.1c,1,4,B,4,1,control,,,2011-02-10,24,106.0,42.925294,2010-09-21,265823000,319985600,1410809,13032516,0.040728,0.040728,0.040728,12697,131568,0.000495,0.000495,0.000495,0.000012,0.01200786,,0.000013,,,,
14B-4.0,1,4,B,4,0,Sample,,,2011-02-10,24,106.0,42.925294,2010-09-21,265823000,319985600,48577299,448919175,1.402936,1.402936,1.402936,31585,283753,0.001067,0.001067,0.001067,0.000025,0.00075997,0.000188,0.000013,0.000866,72.2,0.001054,87.8
14B-4.1,1,4,B,4,1,Sample,,,2011-02-10,24,106.0,42.925294,2010-09-21,265823000,319985600,44572994,407790104,1.274402,1.274401,1.274402,53279,505671,0.001902,0.001902,0.001902,0.000044,0.001490241,0.000495,0.000013,0.001394,116.2,0.001889,157.4
14B-4.N,1,4,B,4,N,Sample,,,2011-02-10,24,106.0,42.925294,2010-09-21,265823000,319985600,37568328,343139997,1.072361,1.072361,1.072361,1206,5936,0.000022,0.000022,0.000022,0.000001,2.05151E-05,0.000342,0.000013,-0.000333,-27.7,0.000009,0.7
14B-4.W,1,4,B,4,W,Sample,,,2011-02-10,24,106.0,42.925294,2010-09-21,265823000,319985600,45078006,410078745,1.281554,1.281554,1.281554,1549,8718,0.000033,0.000033,0.000033,0.000001,2.57493E-05,0.000342,0.000013,-0.000322,-26.8,0.000020,1.7
14C-1.0c,1,4,C,1,0,control,,,2011-02-10,24,105.9,42.884798,2010-09-21,265823000,319985600,1762197,16305559,0.050957,0.050957,0.050957,9940,103101,0.000388,0.000388,0.000388,0.000009,0.007556724,,0.000039,,,,
14C-1.1c,1,4,C,1,1,control,,,2011-02-10,24,105.9,42.884798,2010-09-21,265823000,319985600,1574578,14340968,0.044818,0.044818,0.044818,10686,109989,0.000414,0.000414,0.000414,0.000010,0.009152812,,0.000039,,,,
14C-1.0,1,4,C,1,0,Sample,,,2011-02-10,24,105.9,42.884798,2010-09-21,265823000,319985600,52371324,479589448,1.498785,1.498784,1.498785,2609,15053,0.000057,0.000057,0.000057,0.000001,3.80294E-05,0.000388,0.000039,-0.000370,-30.9,0.000018,1.5
14C-1.1,1,4,C,1,1,Sample,,,2011-02-10,24,105.9,42.884798,2010-09-21,265823000,319985600,49584559,443712598,1.386664,1.386664,1.386664,90588,878504,0.003305,0.003305,0.003305,0.000077,0.002377751,0.000414,0.000039,0.002852,237.6,0.003266,272.1
14C-1.N,1,4,C,1,N,Sample,,,2011-02-10,24,105.9,42.884798,2010-09-21,265823000,319985600,48823033,443581193,1.386254,1.386254,1.386254,2948,19016,0.000072,0.000072,0.000072,0.000002,5.19358E-05,0.000401,0.000039,-0.000368,-30.7,0.000033,2.7
14C-1.E,1,4,C,1,E,Sample,,,2011-02-10,24,105.9,42.884798,2010-09-21,265823000,319985600,50260053,444153758,1.388043,1.388043,1.388043,2068,11973,0.000045,0.000045,0.000045,0.000001,3.24187E-05,0.000401,0.000039,-0.000395,-32.9,0.000006,0.5
14C-2.0c,1,4,C,2,0,control,,,2011-02-10,24,105.9,42.884798,2010-09-21,265823000,319985600,1093189,10011445,0.031287,0.031287,0.031287,4651,47084,0.000177,0.000177,0.000177,0.000004,0.005625477,,0.000039,,,,
14C-2.1c,1,4,C,2,1,control,,,2011-02-10,24,105.9,42.884798,2010-09-21,265823000,319985600,1667132,15171477,0.047413,0.047413,0.047413,11968,123506,0.000465,0.000465,0.000465,0.000011,0.009712185,,0.000039,,,,
14C-2.0,1,4,C,2,0,Sample,,,2011-02-11,24,106.1,42.965790,2010-09-21,265823000,319985600,23641501,218749138,0.683622,0.683622,0.683622,1219,7024,0.000026,0.000026,0.000026,0.000001,3.80313E-05,0.000177,0.000039,-0.000191,-15.9,-0.000013,-1.1
14C-2.1,1,4,C,2,1,Sample,,,2011-02-11,24,106.1,42.965790,2010-09-21,265823000,319985600,39468334,362526819,1.132947,1.132947,1.132947,120384,1216600,0.004577,0.004577,0.004577,0.000107,0.004023651,0.000466,0.000039,0.004072,339.3,0.004538,378.1
14C-2.N,1,4,C,2,N,Sample,,,2011-02-11,24,106.1,42.965790,2010-09-21,265823000,319985600,53273152,482927206,1.509216,1.509215,1.509216,3951,26585,0.000100,0.000100,0.000100,0.000002,6.62552E-05,0.000322,0.000039,-0.000261,-21.8,0.000061,5.0
14C-2.W,1,4,C,2,W,Sample,,,2011-02-11,24,106.1,42.965790,2010-09-21,265823000,319985600,42995936,408219635,1.275744,1.275744,1.275744,383,939,0.000004,0.000004,0.000004,0.000000,3.13542E-06,0.000322,0.000039,-0.000357,-29.8,-0.000035,-3.0
14C-3.0c,1,4,C,3,0,control,,,2011-02-11,24,106.1,42.965790,2010-09-21,265823000,319985600,1480969,14037287,0.043869,0.043868,0.043869,5870,59992,0.000226,0.000226,0.000226,0.000005,0.005125298,,0.000039,,,,
14C-3.1c,1,4,C,3,1,control,,,2011-02-11,24,106.1,42.965790,2010-09-21,265823000,319985600,1647469,14633976,0.045733,0.045733,0.045733,10027,104292,0.000392,0.000392,0.000392,0.000009,0.008498645,,0.000039,,,,
14C-3.0,1,4,C,3,0,Sample,,,2011-02-11,24,106.1,42.965790,2010-09-21,265823000,319985600,38739291,350205374,1.094441,1.094441,1.094441,683,2910,0.000011,0.000011,0.000011,0.000000,1.00507E-05,0.000226,0.000039,-0.000254,-21.2,-0.000028,-2.4
14C-3.1,1,4,C,3,1,Sample,,,2011-02-11,24,106.1,42.965790,2010-09-21,265823000,319985600,46479272,414893773,1.296602,1.296601,1.296602,41041,377439,0.001420,0.001420,0.001420,0.000033,0.001093972,0.000392,0.000039,0.000989,82.4,0.001381,115.0
14C-3.S,1,4,C,3,S,Sample,,,2011-02-11,23,106.1,43.110944,2010-09-21,265823000,319985600,45781309,422802873,1.321319,1.321318,1.321319,7352,59776,0.000225,0.000225,0.000225,0.000005,0.000170255,0.000310,0.000040,-0.000125,-10.4,0.000185,15.5
14C-3.E,1,4,C,3,E,Sample,,,2011-02-11,23,106.1,43.110944,2010-09-21,265823000,319985600,22098695,204994449,0.640637,0.640636,0.640637,1326,11147,0.000042,0.000042,0.000042,0.000001,6.55554E-05,0.000310,0.000040,-0.000308,-25.6,0.000002,0.2
14C-4.0c,1,4,C,4,0,control,,,2011-02-11,23,106.1,43.110944,2010-09-21,265823000,319985600,1253511,11518876,0.035998,0.035998,0.035998,3775,36805,0.000138,0.000138,0.000138,0.000003,0.003818906,,0.000040,,,,
14C-4.1c,1,4,C,4,1,control,,,2011-02-11,23,106.1,43.110944,2010-09-21,265823000,319985600,89313,903859,0.002825,0.002825,0.002825,4300,44442,0.000167,0.000167,0.000167,0.000004,0.055815508,,0.000040,,,,
14C-4.0,1,4,C,4,0,Sample,,,2011-02-11,23,106.0,43.070312,2010-09-21,265823000,319985600,38922492,349553535,1.092404,1.092404,1.092404,2632,16570,0.000062,0.000062,0.000062,0.000001,5.67523E-05,0.000138,0.000040,-0.000115,-9.6,0.000022,1.9
14C-4.1,1,4,C,4,1,Sample,,,2011-02-11,24,106.0,42.925294,2010-09-21,265823000,319985600,49030070,444610918,1.389472,1.389472,1.389472,164112,1654214,0.006223,0.006223,0.006223,0.000145,0.004458711,0.000166,0.000039,0.006017,501.4,0.006184,515.3
14C-4.S,1,4,C,4,S,Sample,,,2011-02-11,24,106.0,42.925294,2010-09-21,265823000,319985600,44267650,397368338,1.241832,1.241832,1.241832,3944,27010,0.000102,0.000102,0.000102,0.000002,8.213E-05,0.000152,0.000039,-0.000089,-7.4,0.000063,5.2
14C-4.W,1,4,C,4,W,Sample,,,2011-02-11,24,106.0,42.925294,2010-09-21,265823000,319985600,49380103,443434009,1.385794,1.385794,1.385794,2483,15851,0.000060,0.000060,0.000060,0.000001,4.32946E-05,0.000152,0.000039,-0.000131,-10.9,0.000021,1.7
24B-G1,2,4,B,,1,blank,,,2011-02-15,24,107.5,43.532727,2010-09-21,265823000,319985600,47580441,434958947,1.359308,1.359308,1.359308,531,2350,0.000009,0.000009,0.000009,0.000000,6.62097E-06,,0.000009,,,,
24C-G2,2,4,C,"1,4",2,blank,,,2011-02-15,24,107.5,43.532727,2010-09-21,265823000,319985600,51506724,475602003,1.486323,1.486323,1.486323,367,773,0.000003,0.000003,0.000003,0.000000,2.0184E-06,,0.000003,,,,
24C-G3,2,4,C,"2,3",3,blank,,,2011-02-15,24,107.5,43.532727,2010-09-21,265823000,319985600,58412288,526982240,1.646894,1.646894,1.646894,1432,6910,0.000026,0.000026,0.000026,0.000001,1.5787E-05,,0.000003,,,,
24A-G4,2,4,A,,4,blank,,,2011-02-15,24,107.5,43.532727,2010-09-21,265823000,319985600,52821417,471712921,1.474169,1.474169,1.474169,1292,6488,0.000024,0.000024,0.000024,0.000001,1.62801E-05,,0.000024,,,,
24A-1.0c,2,4,A,1,0,control,,,2011-02-15,24,107.5,43.532727,2010-09-21,265823000,319985600,245665,2356385,0.007364,0.007364,0.007364,4528,48639,0.000183,0.000183,0.000183,0.000004,0.024248046,,0.000024,,,,
24A-1.1c,2,4,A,1,1,control,,,2011-02-15,24,107.5,43.532727,2010-09-21,265823000,319985600,1444232,12987025,0.040586,0.040586,0.040586,21073,226389,0.000852,0.000852,0.000852,0.000020,0.020560838,,0.000024,,,,
24A-1.0,2,4,A,1,0,Sample,,,2011-02-15,25,107.6,43.427004,2010-09-21,265823000,319985600,48270642,441593095,1.380041,1.380041,1.380041,30993,278447,0.001047,0.001047,0.001047,0.000024,0.000758098,0.000183,0.000024,0.000841,70.0,0.001023,85.3
24A-1.1,2,4,A,1,1,Sample,,,2011-02-15,25,107.6,43.427004,2010-09-21,265823000,319985600,49218077,445988709,1.393778,1.393777,1.393778,181320,1843402,0.006935,0.006935,0.006935,0.000160,0.00495105,0.000850,0.000024,0.006061,505.1,0.006911,575.9
24A-1.N,2,4,A,1,N,Sample,,,2011-02-15,25,107.6,43.427004,2010-09-21,265823000,319985600,48077131,459040229,1.434565,1.434565,1.434565,48678,462527,0.001740,0.001740,0.001740,0.000040,0.001211442,0.000516,0.000024,0.001200,100.0,0.001716,143.0
24A-1.W,2,4,A,1,W,Sample,,,2011-02-15,25,107.6,43.427004,2010-09-21,265823000,319985600,48914930,436071222,1.362784,1.362784,1.362784,230082,2340118,0.008803,0.008803,0.008803,0.000203,0.006418113,0.000516,0.000024,0.008263,688.6,0.008779,731.6
24A-2.0c,2,4,A,2,0,control,,,2011-02-15,25,107.5,43.386644,2010-09-21,265823000,319985600,1264019,12224252,0.038203,0.038203,0.038203,24754,277326,0.001043,0.001043,0.001043,0.000024,0.026575957,,0.000024,,,,
24A-2.1c,2,4,A,2,1,control,,,2011-02-15,25,107.5,43.386644,2010-09-21,265823000,319985600,1452285,13209235,0.041281,0.041281,0.041281,33874,364138,0.001370,0.001370,0.001370,0.000032,0.032121169,,0.000024,,,,
24A-2.0,2,4,A,2,0,Sample,,,2011-02-15,25,107.5,43.386644,2010-09-21,265823000,319985600,51376058,459485290,1.435956,1.435956,1.435956,209492,2129143,0.008010,0.008010,0.008010,0.000185,0.005547222,0.001043,0.000024,0.006943,578.6,0.007986,665.5
24A-2.1,2,4,A,2,1,Sample,,,2011-02-15,25,107.5,43.386644,2010-09-21,265823000,319985600,52637829,488296041,1.525994,1.525994,1.525994,330178,3490212,0.013130,0.013130,0.013130,0.000303,0.008530827,0.001370,0.000024,0.011736,978.0,0.013106,1092.2
24A-2.S,2,4,A,2,S,Sample,,,2011-02-15,25,107.5,43.386644,2010-09-21,265823000,319985600,54870671,484152755,1.513046,1.513045,1.513046,406533,4214039,0.015853,0.015853,0.015853,0.000365,0.010368899,0.001207,0.000024,0.014623,1218.5,0.015829,1319.1
24A-2.E,2,4,A,2,E,Sample,,,2011-02-15,25,107.5,43.386644,2010-09-21,265823000,319985600,51938042,476421788,1.488885,1.488885,1.488885,194169,1991639,0.007492,0.007492,0.007492,0.000173,0.00500676,0.001207,0.000024,0.006262,521.8,0.007468,622.3
24A-3.0c,2,4,A,3,0,control,,,2011-02-15,25,107.5,43.386644,2010-09-21,265823000,319985600,1518227,14073038,0.043980,0.043980,0.043980,10479,109229,0.000411,0.000411,0.000411,0.000009,0.009258634,,0.000024,,,,
24A-3.1c,2,4,A,3,1,control,,,2011-02-15,25,107.5,43.386644,2010-09-21,265823000,319985600,1141707,10802378,0.033759,0.033759,0.033759,14452,153596,0.000578,0.000578,0.000578,0.000013,0.016833154,,0.000024,,,,
24A-3.0,2,4,A,3,0,Sample,,,2011-02-15,25,107.5,43.386644,2010-09-21,265823000,319985600,46719902,416143748,1.300508,1.300508,1.300508,94128,915448,0.003444,0.003444,0.003444,0.000079,0.002641202,0.000411,0.000024,0.003009,250.8,0.003420,285.0
24A-3.1,2,4,A,3,1,Sample,,,2011-02-15,25,107.5,43.386644,2010-09-21,265823000,319985600,51171440,459916373,1.437304,1.437303,1.437304,230453,2359777,0.008877,0.008877,0.008877,0.000205,0.006138236,0.000578,0.000024,0.008275,689.6,0.008853,737.8
24A-3.N,2,4,A,3,N,Sample,,,2011-02-15,25,107.5,43.386644,2010-09-21,265823000,319985600,51442082,476846233,1.490212,1.490212,1.490212,430657,4607170,0.017332,0.017332,0.017332,0.000399,0.011496845,0.000495,0.000024,0.016814,1401.1,0.017308,1442.3
24A-3.E,2,4,A,3,E,Sample,,,2011-02-15,25,107.5,43.386644,2010-09-21,265823000,319985600,50325025,469797346,1.468183,1.468183,1.468183,183332,1896816,0.007136,0.007136,0.007136,0.000164,0.00483692,0.000495,0.000024,0.006618,551.5,0.007112,592.7
24A-4.0c,2,4,A,4,0,control,,,2011-02-17,25,106.4,42.942688,2010-09-21,265823000,319985600,1439557,13481140,0.042130,0.042130,0.042130,7351,77478,0.000291,0.000291,0.000291,0.000007,0.00685981,,0.000024,,,,
24A-4.1c,2,4,A,4,1,control,,,2011-02-17,25,106.4,42.942688,2010-09-21,265823000,319985600,498046,4701605,0.014693,0.014693,0.014693,7094,78107,0.000294,0.000294,0.000294,0.000007,0.019617001,,0.000024,,,,
24A-4.0,2,4,A,4,0,Sample,,,2011-02-17,25,106.4,42.942688,2010-09-21,265823000,319985600,50255567,479425255,1.498272,1.498271,1.498272,50233,489414,0.001841,0.001841,0.001841,0.000043,0.001227241,0.000291,0.000024,0.001526,127.2,0.001817,151.4
