bagID,Chamber,block,time,Warming,Fragmentation,position,Type,dwt.initial,dwt.final,mass.loss,prop.mass.loss,Notes
072,54B,5,4,B,2,W,Experiment,0.4286,0.3925,0.0361,0.0842,
073,,,,,,,Control,0.4356,0.3702,0.0654,0.1501,
074,,,,,,,Control,0.3760,0.3234,0.0526,0.1399,?
075,54A,5,4,A,4,E,Experiment,0.4329,0.3852,0.0477,0.1102,
076,,,,,,,Control,0.4599,0.3876,0.0723,0.1572,
077,54A,5,4,A,2,N,Experiment,0.5182,0.4597,0.0585,0.1129,
078,54C,5,4,C,2,W,Experiment,0.4159,0.3566,0.0593,0.1426,
079,54C,5,4,C,1,W,Experiment,0.4500,0.3872,0.0628,0.1396,
080,,,,,,,Control,0.4816,0.4131,0.0685,0.1422,
14A-1.I,14A,1,4,A,1,I,Experiment,0.1966,0.1426,0.0540,0.2747,
14A-1.O,14A,1,4,A,1,O,Experiment,0.3271,0.2349,0.0922,0.2819,
14A-2.I,14A,1,4,A,2,I,Experiment,0.2964,0.2171,0.0793,0.2675,
14A-2.O,14A,1,4,A,2,O,Experiment,0.3515,0.2737,0.0778,0.2213,
14A-3.I,14A,1,4,A,3,I,Experiment,0.3371,0.2742,0.0629,0.1866,
14A-3.O,14A,1,4,A,3,O,Experiment,0.3607,0.2740,0.0867,0.2404,
14A-4.I,14A,1,4,A,4,I,Experiment,0.4048,0.3432,0.0616,0.1522,
14A-4.O,14A,1,4,A,4,O,Experiment,0.2580,0.2034,0.0546,0.2116,
14B-1.I,14B,1,4,B,1,I,Experiment,0.2963,0.2284,0.0679,0.2292,
14B-1.O,14B,1,4,B,1,O,Experiment,0.2507,0.2165,0.0342,0.1364,
14B-2.I,14B,1,4,B,2,I,Experiment,0.3271,0.2897,0.0374,0.1143,
14B-2.O,14B,1,4,B,2,O,Experiment,0.3048,0.2680,0.0368,0.1207,
14B-3.I,14B,1,4,B,3,I,Experiment,0.2585,0.2284,0.0301,0.1164,
14B-3.O,14B,1,4,B,3,O,Experiment,0.2807,0.2360,0.0447,0.1592,
14B-4.I,14B,1,4,B,4,I,Experiment,0.3569,0.3053,0.0516,0.1446,
14B-4.O,14B,1,4,B,4,O,Experiment,0.2751,0.2364,0.0387,0.1407,
14C-1.I,14C,1,4,C,1,I,Experiment,0.2812,0.2297,0.0515,0.1831,
14C-1.O,14C,1,4,C,1,O,Experiment,0.2693,0.2478,0.0215,0.0798,
14C-2.I,14C,1,4,C,2,I,Experiment,0.2918,0.2633,0.0285,0.0977,
14C-2.O,14C,1,4,C,2,O,Experiment,0.2986,0.2839,0.0147,0.0492,
14C-3.I,14C,1,4,C,3,I,Experiment,0.2369,0.2059,0.0310,0.1309,
14C-3.O,14C,1,4,C,3,O,Experiment,0.2465,0.2327,0.0138,0.0560,
14C-4.I,14C,1,4,C,4,I,Experiment,0.3399,0.2823,0.0576,0.1695,
14C-4.O,14C,1,4,C,4,O,Experiment,0.2845,0.2367,0.0478,0.1680,
24A-1.I,24A,2,4,A,1,I,Experiment,0.2440,0.1876,0.0564,0.2311,
24A-1.O,24A,2,4,A,1,O,Experiment,0.2408,0.2040,0.0368,0.1528,
24A-2.I,24A,2,4,A,2,I,Experiment,0.2468,0.1993,0.0475,0.1925,
24A-2.O,24A,2,4,A,2,O,Experiment,0.2435,0.1912,0.0523,0.2148,
24A-3.I,24A,2,4,A,3,I,Experiment,0.2595,0.2147,0.0448,0.1726,
24A-3.O,24A,2,4,A,3,O,Experiment,0.2665,0.2247,0.0418,0.1568,
24A-4.I,24A,2,4,A,4,I,Experiment,0.2156,0.1808,0.0348,0.1614,
24A-4.O,24A,2,4,A,4,O,Experiment,0.2622,0.2270,0.0352,0.1342,
24B-1.I,24B,2,4,B,1,I,Experiment,0.2636,0.1850,0.0786,0.2982,
24B-1.O,24B,2,4,B,1,O,Experiment,0.2621,0.2056,0.0565,0.2156,
24B-2.I,24B,2,4,B,2,I,Experiment,0.2719,0.2189,0.0530,0.1949,
24B-2.O,24B,2,4,B,2,O,Experiment,0.2611,0.2155,0.0456,0.1746,
24B-3.I,24B,2,4,B,3,I,Experiment,0.2964,0.2451,0.0513,0.1731,
24B-3.O,24B,2,4,B,3,O,Experiment,0.3595,0.2673,0.0922,0.2565,
24B-4.I,24B,2,4,B,4,I,Experiment,0.2779,0.2200,0.0579,0.2083,
24B-4.O,24B,2,4,B,4,O,Experiment,0.2680,0.2249,0.0431,0.1608,open
24C-1.I,24C,2,4,C,1,I,Experiment,0.2559,0.2267,0.0292,0.1141,
24C-1.O,24C,2,4,C,1,O,Experiment,0.2737,0.2125,0.0612,0.2236,
24C-2.I,24C,2,4,C,2,I,Experiment,0.2171,0.1868,0.0303,0.1396,
24C-2.O,24C,2,4,C,2,O,Experiment,0.3013,0.2737,0.0276,0.0916,
24C-3.I,24C,2,4,C,3,I,Experiment,0.2910,0.2353,0.0557,0.1914,
24C-3.O,24C,2,4,C,3,O,Experiment,0.2870,0.2452,0.0418,0.1456,
24C-4.I,24C,2,4,C,4,I,Experiment,0.2214,0.1617,0.0597,0.2696,
24C-4.O,24C,2,4,C,4,O,Experiment,0.2734,0.2446,0.0288,0.1053,
34A-1.I,34A,3,4,A,1,I,Experiment,0.2530,0.2172,0.0358,0.1415,
34A-1.O,34A,3,4,A,1,O,Experiment,0.3422,0.2682,0.0740,0.2162,
34A-2.I,34A,3,4,A,2,I,Experiment,0.3029,0.2658,0.0371,0.1225,
34A-2.O,34A,3,4,A,2,O,Experiment,0.3322,0.2872,0.0450,0.1355,
34A-3.I,34A,3,4,A,3,I,Experiment,0.3375,0.2866,0.0509,0.1508,
34A-3.O,34A,3,4,A,3,O,Experiment,0.3106,0.2609,0.0497,0.1600,
34A-4.I,34A,3,4,A,4,I,Experiment,0.2813,0.2340,0.0473,0.1681,
34A-4.O,34A,3,4,A,4,O,Experiment,0.2795,0.2393,0.0402,0.1438,
34B-1.I,34B,3,4,B,1,I,Experiment,0.3137,0.2635,0.0502,0.1600,
34B-1.O,34B,3,4,B,1,O,Experiment,0.3200,0.2816,0.0384,0.1200,
34B-2.I,34B,3,4,B,2,I,Experiment,0.3635,0.3245,0.0390,0.1073,
34B-2.O,34B,3,4,B,2,O,Experiment,0.3204,0.2600,0.0604,0.1885,
34B-3.I,34B,3,4,B,3,I,Experiment,0.2850,0.2497,0.0353,0.1239,
34B-3.O,34B,3,4,B,3,O,Experiment,0.3405,0.2951,0.0454,0.1333,
34B-4.I,34B,3,4,B,4,I,Experiment,0.3599,0.2902,0.0697,0.1937,
34B-4.O,34B,3,4,B,4,O,Experiment,0.3462,0.3115,0.0347,0.1002,
34C-1.I,34C,3,4,C,1,I,Experiment,0.3539,0.2809,0.0730,0.2063,
34C-1.O,34C,3,4,C,1,O,Experiment,0.3828,0.3537,0.0291,0.0760,
34C-2.I,34C,3,4,C,2,I,Experiment,0.4232,0.3645,0.0587,0.1387,
34C-2.O,34C,3,4,C,2,O,Experiment,0.3504,0.3097,0.0407,0.1162,
34C-3.I,34C,3,4,C,3,I,Experiment,0.4165,0.3655,0.0510,0.1224,
34C-3.O,34C,3,4,C,3,O,Experiment,0.4425,0.4027,0.0398,0.0899,
34C-4.I,34C,3,4,C,4,I,Experiment,0.4130,0.3482,0.0648,0.1569,
34C-4.O,34C,3,4,C,4,O,Experiment,0.4085,0.3765,0.0320,0.0783,
44A-1.I,44A,4,4,A,1,I,Experiment,0.3892,0.3324,0.0568,0.1459,
44A-1.O,44A,4,4,A,1,O,Experiment,0.4390,0.3342,0.1048,0.2387,
44A-2.I,44A,4,4,A,2,I,Experiment,0.3386,0.2669,0.0717,0.2118,
44A-2.O,44A,4,4,A,2,O,Experiment,0.3952,0.3520,0.0432,0.1093,
44A-3.I,44A,4,4,A,3,I,Experiment,0.3484,0.2986,0.0498,0.1429,
44A-3.O,44A,4,4,A,3,O,Experiment,0.3682,0.3236,0.0446,0.1211,
44A-4.I,44A,4,4,A,4,I,Experiment,0.4167,0.3545,0.0622,0.1493,
44A-4.O,44A,4,4,A,4,O,Experiment,0.3499,0.2827,0.0672,0.1921,
44B-1.I,44B,4,4,B,1,I,Experiment,0.3909,0.3301,0.0608,0.1555,
44B-1.O,44B,4,4,B,1,O,Experiment,0.3957,0.3278,0.0679,0.1716,
44B-2.I,44B,4,4,B,2,I,Experiment,0.3182,0.2739,0.0443,0.1392,
44B-2.O,44B,4,4,B,2,O,Experiment,0.3790,0.3272,0.0518,0.1367,
44B-3.I,44B,4,4,B,3,I,Experiment,0.3417,0.2922,0.0495,0.1449,
44B-3.O,44B,4,4,B,3,O,Experiment,0.3582,0.2782,0.0800,0.2233,
44B-4.I,44B,4,4,B,4,I,Experiment,0.3408,0.2664,0.0744,0.2183,
44B-4.O,44B,4,4,B,4,O,Experiment,0.3428,0.2792,0.0636,0.1855,
44C-1.I,44C,4,4,C,1,I,Experiment,0.2979,0.2345,0.0634,0.2128,
44C-1.O,44C,4,4,C,1,O,Experiment,0.3241,0.2772,0.0469,0.1447,
44C-2.I,44C,4,4,C,2,I,Experiment,0.2652,0.1991,0.0661,0.2492,
44C-2.O,44C,4,4,C,2,O,Experiment,0.2987,0.2657,0.0330,0.1105,
44C-3.I,44C,4,4,C,3,I,Experiment,0.3536,0.2837,0.0699,0.1977,
44C-3.O,44C,4,4,C,3,O,Experiment,0.3222,0.2866,0.0356,0.1105,
44C-4.I,44C,4,4,C,4,I,Experiment,0.3863,0.3090,0.0773,0.2001,
44C-4.O,44C,4,4,C,4,O,Experiment,0.3667,0.2342,0.1325,0.3613,chewed - end missing :(
54A-1.I,54A,5,4,A,1,I,Experiment,0.3763,0.3181,0.0582,0.1547,
54A-1.O,54A,5,4,A,1,O,Experiment,0.3292,0.2641,0.0651,0.1978,
54A-2.I,54A,5,4,A,2,I,Experiment,0.2917,0.2302,0.0615,0.2108,
54A-2.O,54A,5,4,A,2,O,Experiment,0.3279,0.2668,0.0611,0.1863,
54A-3.I,54A,5,4,A,3,I,Experiment,0.3783,0.3107,0.0676,0.1787,
54A-3.O,54A,5,4,A,3,O,Experiment,0.3986,0.3275,0.0711,0.1784,
54A-4.I,54A,5,4,A,4,I,Experiment,0.4185,0.3272,0.0913,0.2182,
54A-4.O,54A,5,4,A,4,O,Experiment,0.3813,0.2860,0.0953,0.2499,
54B-1.I,54B,5,4,B,1,I,Experiment,0.3589,0.3012,0.0577,0.1608,
54B-1.O,54B,5,4,B,1,O,Experiment,0.3403,0.3024,0.0379,0.1114,
54B-2.I,54B,5,4,B,2,I,Experiment,0.3204,0.2680,0.0524,0.1635,
54B-2.O,54B,5,4,B,2,O,Experiment,0.3666,0.2561,0.1105,0.3014,
54B-3.I,54B,5,4,B,3,I,Experiment,0.3190,0.2607,0.0583,0.1828,
54B-3.O,54B,5,4,B,3,O,Experiment,0.3558,0.2987,0.0571,0.1605,
54B-4.I,54B,5,4,B,4,I,Experiment,0.3300,0.2592,0.0708,0.2145,
54B-4.O,54B,5,4,B,4,O,Experiment,0.4673,0.3952,0.0721,0.1543,
54C-1.I,54C,5,4,C,1,I,Experiment,0.3109,0.2549,0.0560,0.1801,
54C-1.O,54C,5,4,C,1,O,Experiment,0.3256,0.2716,0.0540,0.1658,
54C-2.I,54C,5,4,C,2,I,Experiment,0.3736,0.3051,0.0685,0.1834,
54C-2.O,54C,5,4,C,2,O,Experiment,0.3235,0.2950,0.0285,0.0881,
54C-3.I,54C,5,4,C,3,I,Experiment,0.3596,0.2994,0.0602,0.1674,
54C-3.O,54C,5,4,C,3,O,Experiment,0.3511,0.3214,0.0297,0.0846,
54C-4.I,54C,5,4,C,4,I,Experiment,0.2950,0.2330,0.0620,0.2102,
54C-4.O,54C,5,4,C,4,O,Experiment,0.3205,0.2916,0.0289,0.0902,
64A-1.I,64A,6,4,A,1,I,Experiment,0.4069,0.3628,0.0441,0.1084,
64A-1.O,64A,6,4,A,1,O,Experiment,0.3986,0.3473,0.0513,0.1287,
64A-2.I,64A,6,4,A,2,I,Experiment,0.2964,0.2516,0.0448,0.1511,
64A-2.O,64A,6,4,A,2,O,Experiment,0.4068,0.3536,0.0532,0.1308,
64A-3.I,64A,6,4,A,3,I,Experiment,0.3053,0.2702,0.0351,0.1150,
64A-3.O,64A,6,4,A,3,O,Experiment,0.4173,0.3207,0.0966,0.2315,
64A-4.I,64A,6,4,A,4,I,Experiment,0.3175,0.2515,0.0660,0.2079,
64A-4.O,64A,6,4,A,4,O,Experiment,0.4044,0.3442,0.0602,0.1489,
64B-1.I,64B,6,4,B,1,I,Experiment,0.3540,0.3205,0.0335,0.0946,
64B-1.O,64B,6,4,B,1,O,Experiment,0.4069,0.3642,0.0427,0.1049,
64B-2.I,64B,6,4,B,2,I,Experiment,0.3766,0.3439,0.0327,0.0868,
64B-2.O,64B,6,4,B,2,O,Experiment,0.4134,0.3712,0.0422,0.1021,
64B-3.I,64B,6,4,B,3,I,Experiment,0.4473,0.3782,0.0691,0.1545,
64B-3.O,64B,6,4,B,3,O,Experiment,0.3694,0.3209,0.0485,0.1313,
64B-4.I,64B,6,4,B,4,I,Experiment,0.4136,0.3467,0.0669,0.1618,
64B-4.O,64B,6,4,B,4,O,Experiment,0.3616,0.3084,0.0532,0.1471,
64C-1.I,64C,6,4,C,1,I,Experiment,0.3299,0.2901,0.0398,0.1206,
64C-1.O,64C,6,4,C,1,O,Experiment,0.3755,0.3181,0.0574,0.1529,
64C-2.I,64C,6,4,C,2,I,Experiment,0.3168,0.2745,0.0423,0.1335,
64C-2.O,64C,6,4,C,2,O,Experiment,0.3731,0.3440,0.0291,0.0780,
64C-3.I,64C,6,4,C,3,I,Experiment,0.3327,0.2685,0.0642,0.1930,
64C-3.O,64C,6,4,C,3,O,Experiment,0.3135,0.2849,0.0286,0.0912,
64C-4.I,64C,6,4,C,4,I,Experiment,0.3922,0.3229,0.0693,0.1767,
64C-4.O,64C,6,4,C,4,O,Experiment,0.3593,0.3413,0.0180,0.0501,
74A-1.I,74A,7,4,A,1,I,Experiment,0.3883,0.3408,0.0475,0.1223,
74A-1.O,74A,7,4,A,1,O,Experiment,0.3046,0.2529,0.0517,0.1697,
74A-2.I,74A,7,4,A,2,I,Experiment,0.3820,0.3297,0.0523,0.1369,
74A-2.O,74A,7,4,A,2,O,Experiment,0.3858,0.3437,0.0421,0.1091,
74A-3.I,74A,7,4,A,3,I,Experiment,0.3223,0.2845,0.0378,0.1173,
74A-3.O,74A,7,4,A,3,O,Experiment,0.4811,0.4267,0.0544,0.1131,
74A-4.I,74A,7,4,A,4,I,Experiment,0.3557,0.3025,0.0532,0.1496,
74A-4.O,74A,7,4,A,4,O,Experiment,0.3570,0.2996,0.0574,0.1608,
74B-1.I,74B,7,4,B,1,I,Experiment,0.4360,0.4012,0.0348,0.0798,
74B-1.O,74B,7,4,B,1,O,Experiment,0.3434,0.3039,0.0395,0.1150,
74B-2.I,74B,7,4,B,2,I,Experiment,0.4655,0.4218,0.0437,0.0939,
74B-2.O,74B,7,4,B,2,O,Experiment,0.3811,0.3590,0.0221,0.0580,
74B-3.I,74B,7,4,B,3,I,Experiment,0.4363,0.3908,0.0455,0.1043,
74B-3.O,74B,7,4,B,3,O,Experiment,0.4007,0.3590,0.0417,0.1041,
74B-4.I,74B,7,4,B,4,I,Experiment,0.4585,0.3791,0.0794,0.1732,
74B-4.O,74B,7,4,B,4,O,Experiment,0.4656,0.4208,0.0448,0.0962,
74C-1.I,74C,7,4,C,1,I,Experiment,0.4817,0.4382,0.0435,0.0903,
74C-1.O,74C,7,4,C,1,O,Experiment,0.4396,0.4075,0.0321,0.0730,
74C-2.I,74C,7,4,C,2,I,Experiment,0.4069,0.3535,0.0534,0.1312,
74C-2.O,74C,7,4,C,2,O,Experiment,0.3837,0.3599,0.0238,0.0620,
74C-3.I,74C,7,4,C,3,I,Experiment,0.3912,0.3525,0.0387,0.0989,
74C-3.O,74C,7,4,C,3,O,Experiment,0.3950,0.3691,0.0259,0.0656,
74C-4.I,74C,7,4,C,4,I,Experiment,0.4635,0.4282,0.0353,0.0762,
74C-4.O,74C,7,4,C,4,O,Experiment,0.3417,0.3193,0.0224,0.0656,
84A-1.I,84A,8,4,A,1,I,Experiment,0.3330,0.2768,0.0562,0.1688,
84A-1.O,84A,8,4,A,1,O,Experiment,0.4408,0.3978,0.0430,0.0975,
84A-2.I,84A,8,4,A,2,I,Experiment,0.4727,0.4324,0.0403,0.0853,
84A-2.O,84A,8,4,A,2,O,Experiment,0.3172,0.2829,0.0343,0.1081,
84A-3.I,84A,8,4,A,3,I,Experiment,0.3401,0.2993,0.0408,0.1200,
84A-3.O,84A,8,4,A,3,O,Experiment,0.4085,0.3494,0.0591,0.1447,
84A-4.I,84A,8,4,A,4,I,Experiment,0.3408,0.3091,0.0317,0.0930,
84A-4.O,84A,8,4,A,4,O,Experiment,0.4166,0.3643,0.0523,0.1255,
84B-1.I,84B,8,4,B,1,I,Experiment,0.3692,0.3064,0.0628,0.1701,
84B-1.O,84B,8,4,B,1,O,Experiment,0.4125,0.3634,0.0491,0.1190,
84B-2.I,84B,8,4,B,2,I,Experiment,0.3724,0.3309,0.0415,0.1114,
84B-2.O,84B,8,4,B,2,O,Experiment,0.4560,0.4109,0.0451,0.0989,
84B-3.I,84B,8,4,B,3,I,Experiment,0.3923,0.3286,0.0637,0.1624,
84B-3.O,84B,8,4,B,3,O,Experiment,0.5000,0.4308,0.0692,0.1384,
84B-4.I,84B,8,4,B,4,I,Experiment,0.4229,0.3503,0.0726,0.1717,
84B-4.O,84B,8,4,B,4,O,Experiment,0.3638,0.3229,0.0409,0.1124,
84C-1.I,84C,8,4,C,1,I,Experiment,0.4648,0.4004,0.0644,0.1386,
84C-1.O,84C,8,4,C,1,O,Experiment,0.4211,0.4005,0.0206,0.0489,
84C-2.I,84C,8,4,C,2,I,Experiment,0.3608,0.3087,0.0521,0.1444,
84C-2.O,84C,8,4,C,2,O,Experiment,0.3932,0.3740,0.0192,0.0488,
84C-3.I,84C,8,4,C,3,I,Experiment,0.4314,0.3534,0.0780,0.1808,
84C-3.O,84C,8,4,C,3,O,Experiment,0.4092,0.3886,0.0206,0.0503,
84C-4.I,84C,8,4,C,4,I,Experiment,0.4360,0.3571,0.0789,0.1810,
84C-4.O,84C,8,4,C,4,O,Experiment,0.3683,0.3461,0.0222,0.0603,
002C,,,,,,,Control 2,0.3639,0.3397,0.0242,0.0665,"Control take 2 - redo a Control procedure, using approximately the same treatment"
004C,,,,,,,Control 2,0.4360,0.4146,0.0214,0.0491,"Control take 2 - redo a Control procedure, using approximately the same treatment"
005C,,,,,,,Control 2,0.3962,0.3768,0.0194,0.0490,"Control take 2 - redo a Control procedure, using approximately the same treatment"
007C,,,,,,,Control 2,0.3043,0.2900,0.0143,0.0470,"Control take 2 - redo a Control procedure, using approximately the same treatment"
009C,,,,,,,Control 2,0.3318,0.3151,0.0167,0.0503,"Control take 2 - redo a Control procedure, using approximately the same treatment"
010C,,,,,,,Control 2,0.3237,0.3072,0.0165,0.0510,"Control take 2 - redo a Control procedure, using approximately the same treatment"
011C,,,,,,,Control 2,0.3642,0.3461,0.0181,0.0497,"Control take 2 - redo a Control procedure, using approximately the same treatment"
013C,,,,,,,Control 2,0.4654,0.4450,0.0204,0.0438,"Control take 2 - redo a Control procedure, using approximately the same treatment"
016C,,,,,,,Control 2,0.4190,0.3994,0.0196,0.0468,"Control take 2 - redo a Control procedure, using approximately the same treatment"
018C,,,,,,,Control 2,0.2729,0.2602,0.0127,0.0465,"Control take 2 - redo a Control procedure, using approximately the same treatment"
019C,,,,,,,Control 2,0.3830,0.3628,0.0202,0.0527,"Control take 2 - redo a Control procedure, using approximately the same treatment"
020C,,,,,,,Control 2,0.2919,0.2732,0.0187,0.0641,"Control take 2 - redo a Control procedure, using approximately the same treatment"
025C,,,,,,,Control 2,0.2764,0.2611,0.0153,0.0554,"Control take 2 - redo a Control procedure, using approximately the same treatment"
027C,,,,,,,Control 2,0.5744,0.5462,0.0282,0.0491,"Control take 2 - redo a Control procedure, using approximately the same treatment"
028C,,,,,,,Control 2,0.3420,0.3266,0.0154,0.0450,"Control take 2 - redo a Control procedure, using approximately the same treatment"
031C,,,,,,,Control 2,0.2744,0.2619,0.0125,0.0456,"Control take 2 - redo a Control procedure, using approximately the same treatment"
033C,,,,,,,Control 2,0.3564,0.3402,0.0162,0.0455,"Control take 2 - redo a Control procedure, using approximately the same treatment"
035C,,,,,,,Control 2,0.3929,0.3718,0.0211,0.0537,"Control take 2 - redo a Control procedure, using approximately the same treatment"
038C,,,,,,,Control 2,0.5144,0.4884,0.0260,0.0505,"Control take 2 - redo a Control procedure, using approximately the same treatment"
040C,,,,,,,Control 2,0.2683,0.2537,0.0146,0.0544,"Control take 2 - redo a Control procedure, using approximately the same treatment"
048C,,,,,,,Control 2,0.4265,0.4041,0.0224,0.0525,"Control take 2 - redo a Control procedure, using approximately the same treatment"
049C,,,,,,,Control 2,0.4133,0.3929,0.0204,0.0494,"Control take 2 - redo a Control procedure, using approximately the same treatment"
052C,,,,,,,Control 2,0.4785,0.4583,0.0202,0.0422,"Control take 2 - redo a Control procedure, using approximately the same treatment"
054C,,,,,,,Control 2,0.4075,0.3926,0.0149,0.0366,"Control take 2 - redo a Control procedure, using approximately the same treatment"
055C,,,,,,,Control 2,0.3721,0.3607,0.0114,0.0306,"Control take 2 - redo a Control procedure, using approximately the same treatment"
056C,,,,,,,Control 2,0.3647,0.3502,0.0145,0.0398,"Control take 2 - redo a Control procedure, using approximately the same treatment"
057C,,,,,,,Control 2,0.3536,0.3377,0.0159,0.0450,"Control take 2 - redo a Control procedure, using approximately the same treatment"
058C,,,,,,,Control 2,0.5179,0.4930,0.0249,0.0481,"Control take 2 - redo a Control procedure, using approximately the same treatment"
060C,,,,,,,Control 2,0.3796,0.3676,0.0120,0.0316,"Control take 2 - redo a Control procedure, using approximately the same treatment"
061C,,,,,,,Control 2,0.4667,0.4473,0.0194,0.0416,"Control take 2 - redo a Control procedure, using approximately the same treatment"
063C,,,,,,,Control 2,0.4435,0.4235,0.0200,0.0451,"Control take 2 - redo a Control procedure, using approximately the same treatment"
064C,,,,,,,Control 2,0.4377,0.4201,0.0176,0.0402,"Control take 2 - redo a Control procedure, using approximately the same treatment"
065C,,,,,,,Control 2,0.3329,0.3190,0.0139,0.0418,"Control take 2 - redo a Control procedure, using approximately the same treatment"
067C,,,,,,,Control 2,0.4118,0.3964,0.0154,0.0374,"Control take 2 - redo a Control procedure, using approximately the same treatment"
