"SampleID","Block","Time","Chamber","Frag","Pos","ARA.dwt","Cells.dwt","Nostoc","Nostoc.H","Stigonema","Stigonema.H","Other.cells","Cells","Cells.g","Cells.m","Hcells","Hcells.g","Hcells.m","ARA.ml","ARA.m","H2O","H2O.wwt","Position","Nfix","ARA.g"
"11C-4.W","1","1","C","4","W",772.6,68.8,8.5,1,46,3,0,30277.7777777778,880167.95865633,1133362941.42980,2222.22222222222,64599.4832041344,83182601.205857,0.0032325498489426,269.37915407855,5.20625415834997,0.838872212692967,"W",89.7930513595166,4.18398893210277e-06
"21A-1.O","2","1","A","1","O",286.3,37.5,0,0,0,0,0.5,277.777777777778,14814.8148148148,7069135.80246914,0,0,0,-0.000149087436215240,-12.4239530179366,4.97220015885623,0.832557520946934,"O",-4.14131767264555,-5.20738512802095e-07
"21A-1.I","2","1","A","1","I",572.6,85.1,0,0,9,1.5,0,5000,117508.813160987,112142577.359969,833.333333333333,19584.8021934978,18690429.5599948,-0.000170087436215240,-14.1739530179366,4.06353790613718,0.802509624982176,"I",-4.72465100597888,-2.97044073026964e-07
"21A-1.S","2","1","A","1","S",489.6,72.2,0,0,0,0,4.5,225,6232.68698060942,5085872.57617729,0,0,0,-0.000180587436215240,-15.0489530179366,4.99491611591255,0.833191994572591,"S",-5.01631767264555,-3.68846887694526e-07
"21A-1.E","2","1","A","1","E",899.1,44,0,0,8.5,0.5,0,425,19318.1818181818,28948295.4545455,25,1136.36363636364,1702840.90909091,-0.000132587436215240,-11.0489530179366,4.22560975609756,0.808634772462077,"E",-3.68298433931222,-1.47466840412902e-07
"21A-2.O","2","1","A","2","O",790,32.7,0,0,3.5,0,1,2500,152905.198776758,201325178.389399,0,0,0,-0.000131087436215240,-10.9239530179367,2.79430604982206,0.736447195648096,"O",-3.64131767264555,-1.65933463563595e-07
"21A-2.I","2","1","A","2","I",707.5,36.6,2,0,9,0.5,0,550,30054.6448087432,35439435.3369763,25,1366.12021857923,1610883.42440801,-0.000141087436215240,-11.7572863512700,3.91179839633448,0.796408582089552,"I",-3.91909545042333,-1.99416870975604e-07
"21A-2.N","2","1","A","2","N",1001.6,71,0,0,8,1,0,4444.44444444444,125195.618153365,208993218.570683,555.555555555556,15649.4522691706,26124152.3213354,-0.000135587436215240,-11.2989530179366,3.19696364362765,0.761732508329367,"N",-3.76631767264555,-1.35370842866653e-07
"21A-2.E","2","1","A","2","E",452.1,64.5,0,0,6,0.5,0,3333.33333333333,103359.173126615,77881136.9509044,277.777777777778,8613.26442721791,6490094.7459087,-0.000121587436215240,-10.1322863512700,3.76853748463744,0.790292096219931,"E",-3.37742878375666,-2.68939252853881e-07
"21A-3.O","2","1","A","3","O",771.2,67.4,32.5,1,20.5,2,0,9222.22222222222,273656.445763271,351739751.621057,655.555555555556,19452.6871084735,25003187.1634246,3.2049115913556e-05,2.670759659463,4.40708860759494,0.815057589661953,"O",0.890253219821,4.15574635808558e-08
"21A-3.I","2","1","A","3","I",701.5,62.2,0,0,1.5,0,2,1944.44444444444,62522.3294033583,73099023.4607598,0,0,0,-0.000144950884086444,-12.079240340537,4.26355013550135,0.8100141588364,"I",-4.02641344684567,-2.06629913166706e-07
"21A-3.N","2","1","A","3","N",772,98.2,0,0,13.5,1,0,7500,152749.490835031,196537678.207739,555.555555555556,11314.7770988912,14558346.5339066,-0.000181450884086444,-15.1209070072037,3.789726356217,0.791219805552771,"N",-5.04030233573456,-2.35040005293321e-07
"21A-3.W","2","1","A","3","W",849.5,71.8,0,0,9.5,1,0,4266.66666666667,118848.653667595,168269885.48437,555.555555555556,15475.0851129681,21910141.3391107,-0.000189450884086444,-15.7875736738703,5.69790859798606,0.850699664623569,"W",-5.26252455795678,-2.2301457808881e-07
"21A-4.O","2","1","A","4","O",645.2,45.6,0,0,0,0,0.5,277.777777777778,12183.2358674464,13101039.6361274,0,0,0,-0.000123975442043222,-10.3312868369352,4.85777777777778,0.829286798179059,"O",-3.44376227897839,-1.92150406142625e-07
"21A-4.I","2","1","A","4","I",786.7,93.7,0,0,3.5,0,0,1944.44444444444,41503.6167437448,54418158.8205067,0,0,0,-0.000140975442043222,-11.7479535036018,5.46631823461092,0.845352492141895,"I",-3.91598450120061,-1.79198477238111e-07
"21A-4.S","2","1","A","4","S",502.5,57.8,0,0,0,0,0,0,0,0,0,0,0,-0.000128975442043222,-10.7479535036018,6.20952380952382,0.861294583883752,"S",-3.58265116786728,-2.56667546354671e-07
"21A-4.W","2","1","A","4","W",743,42.6,0,0,7.5,1,3.5,6111.11111111111,286906.624934794,355286037.21092,555.555555555556,26082.4204486176,32298730.6555382,-0.000134975442043222,-11.2479535036018,5.04832509610104,0.834664971854004,"W",-3.74931783453394,-1.81662775293704e-07
"21B-1.O","2","1","B","1","O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.000301024557956778,-25.0853798297315,6.19613259668508,0.861036468330134,"O",-8.36179327657717,NA
"21B-1.I","2","1","B","1","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.19754420432220e-05,1.83128683693517,4.50838414634146,0.818458558184586,"I",0.610428945645056,NA
"21B-1.S","2","1","B","1","S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000558975442043222,46.5812868369352,5.08437626160679,0.835644615486696,"S",15.5270956123117,NA
"21B-1.E","2","1","B","1","E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.5024557956778e-05,-7.91871316306483,5.41866756848157,0.844204425711275,"E",-2.63957105435494,NA
"21B-2.O","2","1","B","2","O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.000150024557956778,-12.5020464963982,3.31948051948052,0.768490679494889,"O",-4.16734883213272,NA
"21B-2.I","2","1","B","2","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.000738024557956778,-61.5020464963982,4.62421242124212,0.822197327358566,"I",-20.5006821654661,NA
"21B-2.N","2","1","B","2","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.000305524557956778,-25.4603798297315,4.93681917211329,0.831559633027523,"N",-8.48679327657717,NA
"21B-2.E","2","1","B","2","E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.000563524557956778,-46.9603798297315,3.43932203389830,0.7747403787416,"E",-15.6534599432438,NA
"21B-3.O","2","1","B","3","O",398.5,51,0,0,16.5,3.5,0,9166.66666666667,359477.124183007,238752723.311547,1944.44444444444,76252.7233115468,50644517.0660857,-0.000174024557956778,-14.5020464963982,3.63834240267895,0.784405739554192,"O",-4.83401549879939,-4.36699016202705e-07
"21B-3.I","2","1","B","3","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.000162024557956778,-13.5020464963982,4.6327614379085,0.822467183987236,"I",-4.50068216546606,NA
"21B-3.S","2","1","B","3","S",963.5,38.9,0,0,13,1.5,1,7777.77777777778,399885.746929449,642149861.944207,833.333333333333,42844.9014567266,68801770.9225935,-0.000173024557956778,-14.4187131630648,2.44716121011189,0.709906227458523,"S",-4.80623772102161,-1.79579198709681e-07
"21B-3.W","2","1","B","3","W",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000113975442043222,9.49795350360183,3.77335984095427,0.790503956684715,"W",3.16598450120061,NA
"21B-4.O","2","1","B","4","O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.000138073673870334,-11.5061394891945,5.14484412470023,0.837261941929441,"O",-3.8353798297315,NA
"21B-4.I","2","1","B","4","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.92632612966601e-06,0.410527177472168,5.29527991218441,0.841150828247602,"I",0.136842392490723,NA
"21B-4.N","2","1","B","4","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.000185573673870334,-15.4644728225278,6.05000000000001,0.858156028368794,"N",-5.15482427417594,NA
"21B-4.W","2","1","B","4","W",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.000109573673870334,-9.1311394891945,5.0175965665236,0.83382069752514,"W",-3.04371316306483,NA
"21C-1.O","2","1","C","1","O",713,22.7,0,0,0,0,0,0,0,0,0,0,0,-0.000148281586842245,-12.3567989035204,3.55107618722241,0.780271751370017,"O",-4.11893296784014,-2.07968564996136e-07
"21C-1.I","2","1","C","1","I",712.9,24.5,0,0,0,0,0,0,0,0,0,0,0,-0.000132281586842245,-11.0234655701871,5.95044052863436,0.856124227539217,"I",-3.67448852339569,-1.85554196720781e-07
"21C-1.N","2","1","C","1","N",696,67.6,0,0,8.5,0,2,5833.33333333333,172583.826429980,200197238.658777,0,0,0,-0.000134281586842245,-11.1901322368538,5.42472885032538,0.844351407927612,"N",-3.73004407895125,-1.92933314428513e-07
"21C-1.E","2","1","C","1","E",528.6,60.1,0,0,4.5,1,0,2500,83194.6755407654,73294509.1514143,555.555555555556,18487.7056757256,16287668.7003143,-0.000117281586842245,-9.77346557018708,4.74812593703149,0.82603025560772,"E",-3.25782185672903,-2.21872090129105e-07
"21C-2.O","2","1","C","2","O",702,47,0,0,14.5,0,2,9166.66666666667,390070.921985816,456382978.723404,0,0,0,-0.000104281586842245,-8.69013223685375,0.506762849413885,0.336325553560742,"O",-2.89671074561792,-1.48549269006047e-07
"21C-2.I","2","1","C","2","I",490.3,40.1,0,0,17,0,0,6916.66666666667,344970.906068163,281898725.408700,0,0,0,-0.000172281586842245,-14.3567989035204,4.45772843723314,0.816773587857925,"I",-4.78559963450680,-3.51379944609922e-07
"21C-2.S","2","1","C","2","S",791.6,43.1,5,1,12,0,0,850,39443.1554524362,52038669.7602475,50,2320.18561484919,3061098.22119103,-0.000137281586842245,-11.4401322368537,4.18907260963335,0.807287337212524,"S",-3.81337741228458,-1.7342292425751e-07
"21C-2.W","2","1","C","2","W",915.6,95.5,0,0,2.5,0.5,1.5,1716.66666666667,35951.1343804537,54861431.0645724,277.777777777778,5817.3356602676,8877254.21756836,-0.000131281586842245,-10.9401322368537,4.09702828499821,0.803807249227311,"W",-3.64671074561792,-1.43383122370298e-07
"21C-3.O","2","1","C","3","O",1171.8,69.2,0,0,0,0,1,555.555555555556,16056.5189466924,31358381.5028902,0,0,0,-4.42323049965486e-05,-3.68602541637905,0.669042769857433,0.400854179377669,"O",-1.22867513879302,-3.77473160919514e-08
"21C-3.I","2","1","C","3","I",595.5,52.4,0,0,5,0,0,1008.33333333333,38486.0050890585,38197360.0508906,0,0,0,-0.00122723230499655,-102.269358749712,4.64902807775378,0.822978398011852,"I",-34.0897862499041,-2.06084350125365e-06
"21C-3.N","2","1","C","3","N",559,54.7,0,0,19.5,1.5,0,10833.3333333333,396099.939061548,369033109.892342,833.333333333333,30469.2260816575,28387162.2994109,-0.000637732304996549,-53.1443587497124,3.97718120805369,0.79908306364617,"N",-17.7147862499041,-1.14084491054839e-06
"21C-3.W","2","1","C","3","W",818.7,72.3,0,0,0,0,0,0,0,0,0,0,0,-0.000639732304996549,-53.3110254163791,4.63316326530613,0.82247984783987,"W",-17.7703418054597,-7.81400152676864e-07
"21C-4.O","2","1","C","4","O",601.8,54.2,0,0,5.5,0,0,3055.55555555556,112751.127511275,113089380.893809,0,0,0,-6.52323049965486e-05,-5.43602541637905,0.236555232558139,0.191301792535997,"O",-1.81200847212635,-1.08395322360499e-07
"21C-4.I","2","1","C","4","I",484.3,61.8,0,0,6,0,0,3333.33333333333,107874.865156419,87072995.3254225,0,0,0,-0.000207232304996549,-17.2693587497124,5.16968011126565,0.837917042380523,"I",-5.75645291657079,-4.27900691712882e-07
"21C-4.S","2","1","C","4","S",630.2,61.8,0,0,6,0.75,1,3888.88888888889,126751.402000598,133319640.509662,416.666666666667,13961.4061611847,14764292.0067898,-0.000143732304996549,-11.9776920830457,4.8466735966736,0.828962574451062,"S",-3.99256402768191,-2.28074111387732e-07
"21C-4.E","2","1","C","4","E",705.6,58.4,12,1.5,13.5,0.5,1.5,15000,513698.630136986,604109589.041096,1111.11111111111,38051.7503805175,44748858.4474886,-0.000145732304996549,-12.1443587497124,4.10140028971511,0.803975390440133,"E",-4.04811958323746,-2.06536713430483e-07
"31A-1.O","3","1","A","1","O",507.9,38.8,0.5,0,0,0,0,277.777777777778,14318.4421534937,12120561.2829324,0,0,0,0.000337044616876819,28.0870514064016,5.88511326860841,0.85475910693302,"O",9.36235046880052,6.63604286034295e-07
"31A-1.I","3","1","A","1","I",537.2,44,11,1,19,0.5,0,5544.44444444444,252020.202020202,225642087.542088,327.777777777778,14898.9898989899,13339562.2895623,4.60446168768186e-05,3.83705140640155,6.338555598013,0.863733402759698,"I",1.27901713546718,8.57122428831322e-08
"31A-1.N","3","1","A","1","N",578.4,38.5,0,0,27,2.5,0,15000,779220.779220779,751168831.168831,1388.88888888889,72150.0721500722,69552669.5526696,-8.19553831231814e-05,-6.82961526026512,5.34272300469484,0.842339008142117,"N",-2.27653842008837,-1.41693262661102e-07
"31A-1.W","3","1","A","1","W",499,45.5,0,0,5.5,0.5,1.5,3888.88888888889,170940.170940171,142165242.165242,277.777777777778,12210.0122100122,10154660.1546602,-0.000161955383123181,-13.4962819269318,6.50579647917561,0.86676963560437,"W",-4.49876064231059,-3.24559886018400e-07
"31A-2.O","3","1","A","2","O",618.6,53.5,0,0,204.5,23.5,0,113611.111111111,4247144.34060228,4378805815.16096,13055.5555555556,488058.151609553,503187954.30945,0.00847315488215488,706.096240179574,4.83596837944664,0.82864883169658,"O",235.365413393191,1.36973082479064e-05
"31A-2.I","3","1","A","2","I",463.1,55.9,0,0,46.5,1.5,0.5,2350,84078.7119856887,64894752.5342874,75,2683.36314847943,2071109.12343471,0.00498315488215488,415.26290684624,5.83870967741936,0.85377358490566,"I",138.420968948747,1.07604294583349e-05
"31A-2.N","3","1","A","2","N",758,63,13,1,15.5,1,0,15833.3333333333,502645.502645503,635008818.342152,1111.11111111111,35273.3686067019,44562022.3398001,0.00510165488215488,425.13790684624,5.54677623261694,0.847253065559525,"N",141.712635615413,6.73041541181383e-06
"31A-2.E","3","1","A","2","E",357.9,59,7.5,1.5,28,3.5,0,19722.2222222222,668549.905838042,398790018.832392,2777.77777777778,94161.9585687382,56167608.2862524,0.00532665488215488,443.88790684624,6.29369369369369,0.862895256916996,"E",147.962635615413,1.48830815371749e-05
"31A-3.O","3","1","A","3","O",512.9,60.1,0,0,84.5,8,0,46944.4444444444,1562211.12959882,1335430147.28539,4444.44444444444,147901.645405805,126431256.547729,0.00574287162162162,478.572635135135,6.65841584158417,0.869424692954105,"O",159.524211711712,1.11968641482192e-05
"31A-3.I","3","1","A","3","I",741.5,81,0,0,31,3.5,0,17222.2222222222,425240.054869685,525525834.476452,1944.44444444444,48010.9739368999,59333561.9570187,0.0049864222972973,415.535191441441,4.71152647975078,0.824915457619723,"I",138.511730480480,6.72477720471652e-06
"31A-3.S","3","1","A","3","S",548.1,86.5,9,1.5,55,5,0,35555.5555555556,822093.770070649,750982658.959538,3611.11111111111,83493.8985228003,76271676.300578,0.00574814695945946,479.012246621622,5.37742504409171,0.843196902654867,"S",159.670748873874,1.04874055089572e-05
"31A-3.W","3","1","A","3","W",511.6,38.6,17,2.5,71.5,12.5,0,49166.6666666667,2547495.68221071,2172164651.69833,8333.33333333333,431778.929188256,368163500.287853,0.00181514695945946,151.262246621622,6.66944444444444,0.869612459253894,"W",50.4207488738739,3.54798076516704e-06
"31A-4.O","3","1","A","4","O",571.4,32.5,0,0,25,5,1,1300,80000,76186666.6666667,250,15384.6153846154,14651282.0512821,0.003318,276.5,6.15192582025677,0.860177520694126,"O",92.1666666666667,5.80679033951698e-06
